stn,date,sd_max,sd_max_time,sd_min,sd_min_time,sd_day_max,rn_day,swe,ta_avg,hm_avg,tw_avg,ws_avg,ta_sd_time,hm_sd_time,tw_sd_time,ws_sd_time
93.0,2021-01-12,2.8,2021-01-12 19:00:00,0.0,2021-01-12 17:00:00,2.8,0.8999999999999999,0.8999999999999999,-9.2375,86.125,-10.22514505236528,0.225,-4.5,87.46666666666665,-5.502675656065381,0.5333333333333333
93.0,2021-01-17,1.0,2021-01-18 00:00:00,0.0,2021-01-17 23:00:00,1.0,0.2,0.2,-7.8125,60.5625,-9.905189885368396,1.3375,-5.35,86.55000000000001,-6.40433527189909,0.75
93.0,2021-01-18,4.9,2021-01-18 14:00:00,1.0,2021-01-18 00:00:00,3.9,3.3,3.1,-5.799999999999999,71.6125,-7.348917923605589,1.375,-5.206666666666667,94.57333333333332,-5.750034324421484,0.6400000000000001
93.0,2021-01-20,2.1,2021-01-20 02:00:00,2.0,2021-01-20 01:00:00,0.1,0.0,0.0,-7.95,75.36250000000001,-9.630095149743005,0.3,-13.7,86.35,-14.578048638099732,0.3999999999999999
93.0,2021-01-28,2.5,2021-01-28 13:00:00,0.0,2021-01-28 10:00:00,2.5,1.9,1.9,-4.2,62.7625,-6.26094737672711,2.625,-1.775,88.65,-2.744271296749538,1.125
93.0,2021-01-30,1.7,2021-01-30 11:00:00,0.0,2021-01-30 08:00:00,1.7,1.1,1.0,-7.012500000000001,82.2625,-8.22811523834922,0.4624999999999999,-8.5,85.025,-9.550759892974847,0.3
93.0,2021-02-03,4.4,2021-02-04 00:00:00,0.0,2021-02-03 22:00:00,4.4,2.6,2.6,-4.750000000000001,58.68749999999999,-7.133525137400248,1.575,-2.433333333333333,92.73333333333332,-3.118113613265938,0.7999999999999999
93.0,2021-02-04,8.9,2021-02-04 02:00:00,4.4,2021-02-04 00:00:00,4.5,1.9,1.9000000000000004,-5.125,53.8375,-7.805657022893191,1.85,-2.733333333333333,97.43333333333332,-3.074111967905108,0.8999999999999999
93.0,2021-02-06,0.3,2021-02-06 02:00:00,0.1,2021-02-06 01:00:00,0.1999999999999999,0.0,0.0,4.9375,78.2125,2.9154110693798243,1.0875,2.05,80.1,0.3094034942093384,1.15
93.0,2021-03-01,9.5,2021-03-02 00:00:00,0.0,2021-03-01 16:00:00,9.5,66.2,12.3,2.3875,93.6375,1.7274430920265171,1.4875,0.0777777777777777,94.55555555555554,-0.4935171870918731,1.3555555555555554
93.0,2021-03-02,9.8,2021-03-02 01:00:00,9.5,2021-03-02 00:00:00,0.3000000000000007,0.2,0.1999999999999999,-0.0499999999999999,83.9,-1.4513869847905638,1.2875,-0.75,94.65,-1.3066485703767086,1.0
93.0,2021-12-18,2.7,2021-12-19 00:00:00,0.0,2021-12-18 19:00:00,2.7,0.8999999999999999,0.7,-8.0,69.58749999999999,-9.569202956173214,0.9,-5.000000000000001,88.90000000000002,-5.917188576115968,0.4666666666666666
93.0,2021-12-19,6.2,2021-12-19 02:00:00,2.7,2021-12-19 00:00:00,3.5,1.5,1.4999999999999998,-3.375,71.675,-5.4609334395969,0.7875000000000001,-4.6000000000000005,95.73333333333336,-5.064094058338488,0.7000000000000001
93.0,2022-02-01,1.1,2022-02-01 03:00:00,0.0,2022-02-01 01:00:00,1.1,0.8,0.5,-2.85,78.15,-4.50094326496593,0.975,-2.833333333333333,95.06666666666666,-3.349443618020576,0.5333333333333333
93.0,2022-03-19,0.4,2022-03-19 07:00:00,0.0,2022-03-19 06:00:00,0.4,8.3,1.6,2.875,80.0875,1.077403852512034,1.1375,0.1,97.7,-0.2143429840414428,0.4
93.0,2022-12-03,0.9,2022-12-03 11:00:00,0.0,2022-12-03 07:00:00,0.9,1.1,1.1,-0.8375000000000001,78.7125,-2.4809791269881463,1.125,-2.8200000000000003,89.36,-3.7272267394718113,0.38
93.0,2022-12-12,0.4,2022-12-12 22:00:00,0.0,2022-12-12 20:00:00,0.4,1.7,0.7,-1.0499999999999998,81.2125,-2.641834969888195,0.625,0.4333333333333333,97.1,0.0708611120670198,0.3999999999999999
93.0,2022-12-13,0.8,2022-12-13 21:00:00,0.0,2022-12-13 18:00:00,0.8,0.3,0.3,-0.9125,70.975,-2.947831045729645,3.3000000000000003,-1.4,78.575,-3.063160888662849,4.35
93.0,2022-12-15,6.1,2022-12-15 17:00:00,0.0,2022-12-15 07:00:00,6.1,2.7,2.5000000000000004,-7.7,87.725,-8.5959767511699,0.4625,-7.154545454545453,89.01818181818183,-8.016003620106824,0.4909090909090909
93.0,2022-12-19,1.9,2022-12-19 06:00:00,1.8,2022-12-19 05:00:00,0.0999999999999998,0.0,0.0,-10.6625,61.675,-12.543081204215582,0.7,-16.6,79.7,-17.613372117634437,0.4499999999999999
93.0,2022-12-21,5.9,2022-12-21 14:00:00,1.1,2022-12-21 05:00:00,4.800000000000001,3.3,3.2,-3.1125000000000003,93.25,-3.7512730758013295,0.3875,-3.62,93.25,-4.2605813001215775,0.3
93.0,2023-01-07,5.7,2023-01-07 02:00:00,1.2,2023-01-07 00:00:00,4.5,4.0,3.7,-1.075,94.575,-1.637324151904152,0.3999999999999999,-1.9333333333333331,97.8,-2.243854239357157,0.3666666666666667
93.0,2023-01-15,4.9,2023-01-15 13:00:00,0.0,2023-01-15 05:00:00,4.9,8.899999999999999,7.199999999999999,-0.0249999999999999,96.925,-0.3965133255710647,0.35,0.0222222222222222,99.9111111111111,-0.1109835516692857,0.3666666666666666
93.0,2023-01-16,3.3,2023-01-16 05:00:00,3.2,2023-01-16 04:00:00,0.0999999999999996,0.0,0.0,-4.65,82.125,-6.001458035280641,0.4125,-2.5,88.0,-3.528684399826476,0.0
93.0,2023-01-17,3.4,2023-01-17 23:00:00,2.7,2023-01-17 14:00:00,0.6999999999999997,0.1,0.1,-6.050000000000001,85.4375,-7.149034241943349,0.575,-4.32,80.43,-5.750639843595989,0.7
93.0,2023-01-18,4.0,2023-01-18 04:00:00,3.4,2023-01-18 01:00:00,0.6000000000000001,0.0,0.0,-5.137499999999999,84.35,-6.356537139449367,0.5875,-5.825,96.3,-6.249283739750754,0.4999999999999999
93.0,2023-01-19,5.0,2023-01-20 00:00:00,2.7,2023-01-19 15:00:00,2.3,0.5,0.5,-4.949999999999999,87.525,-5.9752082995923255,0.7749999999999999,-1.38,82.21000000000001,-2.800172476409837,0.93
93.0,2023-01-20,7.4,2023-01-20 07:00:00,5.0,2023-01-20 00:00:00,2.4000000000000004,1.3,1.3,-4.9125,55.150000000000006,-7.320779362968797,2.125,-1.1125,87.26249999999999,-2.123773609651876,1.6
93.0,2023-01-23,4.7,2023-01-23 06:00:00,4.6,2023-01-23 05:00:00,0.1000000000000005,0.0,0.0,-2.8375,66.6375,-5.146107901590704,1.6,-6.6,96.15,-7.033121520679286,1.05
93.0,2023-01-26,3.8,2023-01-26 10:00:00,3.3,2023-01-26 07:00:00,0.5,0.0,0.0,-8.65,79.4125,-9.972058364527928,0.4875,-10.55,82.35,-11.686656969525853,0.3
93.0,2023-01-28,3.5,2023-01-28 07:00:00,3.4,2023-01-28 06:00:00,0.1,0.0,0.0,-9.5,61.2875,-11.542718738095749,1.3125,-16.85,83.2,-17.753654727523248,0.3
93.0,2023-01-29,6.4,2023-01-29 20:00:00,2.6,2023-01-29 14:00:00,3.8,1.3,1.3,-6.7875,80.8125,-8.073918369249203,0.7999999999999999,-1.0714285714285714,75.54285714285713,-2.9009625811718074,1.1571428571428573
93.0,2023-02-01,3.7,2023-02-01 02:00:00,3.6,2023-02-01 01:00:00,0.1,0.0,0.0,-1.6875,64.8125,-4.290353387960889,1.9125,-3.9,90.75,-4.715622284681059,0.5
93.0,2023-02-02,2.5,2023-02-02 01:00:00,2.4,2023-02-02 00:00:00,0.1,0.0,0.0,-5.2625,69.175,-7.345894767508872,0.7250000000000001,-5.699999999999999,74.95,-7.413160361174485,0.95
93.0,2023-02-05,1.1,2023-02-05 03:00:00,1.0,2023-02-05 02:00:00,0.1,0.0,0.0,-3.2250000000000005,76.35,-5.117507950630502,0.575,-8.3,88.2,-9.20323671288717,0.55
93.0,2023-02-10,1.1,2023-02-10 09:00:00,0.0,2023-02-10 05:00:00,1.1,1.1,0.7,1.3125,88.2125,0.1964384115565168,0.5,0.0,99.44,-0.1720507907401657,0.0
93.0,2023-12-30,6.7,2023-12-30 19:00:00,0.0,2023-12-30 11:00:00,6.7,8.399999999999999,6.1,-2.6500000000000004,91.45,-3.4260585920162074,0.425,-1.6666666666666667,91.61111111111111,-2.447140416912008,0.0777777777777777
93.0,2024-01-09,1.2,2024-01-09 17:00:00,0.0,2024-01-09 13:00:00,1.2,1.0,0.6,-2.925,78.275,-4.501350847323771,0.375,-2.04,86.91999999999999,-3.152636473049728,0.24
93.0,2024-01-14,2.7,2024-01-14 16:00:00,0.0,2024-01-14 13:00:00,2.7,2.6,2.0,-4.4625,83.5375,-5.7038217493073855,0.4125,-2.5,88.85,-3.467634648346434,0.425
93.0,2024-01-17,3.0,2024-01-17 20:00:00,0.0,2024-01-17 15:00:00,3.0,4.2,2.4000000000000004,-3.2,83.5,-4.465130889164976,0.3375,-1.1,91.56666666666666,-1.8904218433433733,0.1666666666666666
93.0,2024-02-21,1.0,2024-02-22 00:00:00,0.0,2024-02-21 20:00:00,1.0,2.4000000000000004,0.5000000000000001,1.275,76.7375,-0.6857549695657191,1.5875,-0.06,77.74000000000001,-1.8807951088926764,1.62
93.0,2024-02-22,1.5,2024-02-22 05:00:00,1.0,2024-02-22 00:00:00,0.5,0.7,0.4999999999999999,-0.1125,60.825,-3.0112079648725985,1.8,-0.7000000000000001,75.03333333333332,-2.6584233656199143,2.066666666666667
93.0,2024-02-23,0.2,2024-02-23 04:00:00,0.0,2024-02-23 03:00:00,0.2,0.2,0.0,0.4875,55.3625,-2.8184383210655133,2.3875,-2.0,76.2,-3.8307576854864425,1.25
