STN,fct_id,stn_sp
905,11H20102,01111000
906,11H20704,01111000
907,11H20402,01111000
908,11H20301,01111000
909,11H20403,01111000
910,11H20201,01111000
911,11H20401,01111000
912,11H20501,01111000
913,11H20405,01111000
914,11H20501,01111000
915,11H20503,01111000
916,11H20703,01111000
917,11H20402,01111000
918,11H20404,01111000
919,11H20604,01111000
920,11H20603,01111000
921,11H20201,01111000
922,11H20601,01111000
923,11H20201,01111000
924,11H20101,01111000
925,11H20304,01111000
926,11H20301,01111000
927,11H20601,01111000
929,11H20404,01111000
930,11H20401,01111000
931,11H20401,01111000
932,11H20704,01111000
933,11H20704,01111000
934,11H20701,01111000
935,11H20503,01111000
936,11H20602,01111000
937,11H20201,01111000
938,11H20201,01111000
939,11H20201,01111000
940,11H20201,01111000
941,11H20201,01111000
942,11H20201,01111000
943,11H20101,01110000
944,11H20604,01111000
945,11H20503,01111000
946,11H20502,01111000
947,11H20403,01111000
948,11H20703,01111000
949,11H20101,01111000
950,11H20201,01110000
951,11F10203,01111000
953,11H20403,01111000
954,11H20101,01111000
955,11B20201,70011000
956,11C20102,70011000
957,21F10501,70011000
958,21F10602,70011000
959,21F20201,70011000
960,11G00400,70011000
961,11F20401,70011000
963,11H20101,70011000
964,11F20303,01111000
965,11G00300,01110000
966,11B20203,00111000
967,11B20200,00111000
970,11D10101,Y1111000
972,11H10501,Y1111111
973,11F20505,Y1111111
974,11H20701,Y1210221
977,11C10301,Y1210111
978,11D10301,Y1210111
980,11G00400,Y1111211
982,11H20200,90000000
983,11H20200,90000000
984,11H20201,70011000
989,11G00400,01111000
990,11G00500,01111000
991,11H10701,01111000
992,11H10701,01111000
993,11G00900,01111000
994,21F10502,01111000
995,11H10201,01111000
996,11H10302,01111000
